#"CEDAD1 - A:Sig=200,4  Ref=360,100 V-15N-5-r001.d"
#Point,X(Minutes),Y(Response Units)
355,2.370,-0.0524520874023438
356,2.377,-0.0247955322265625
357,2.384,0.00762939453125
358,2.390,0.0438690185546875
359,2.397,0.08392333984375
360,2.404,0.124931335449219
361,2.410,0.166893005371094
362,2.417,0.209808349609375
363,2.424,0.253200531005859
364,2.430,0.298023223876953
365,2.437,0.342845916748047
366,2.444,0.388622283935547
367,2.450,0.434398651123047
368,2.457,0.480175018310547
369,2.464,0.525474548339844
370,2.470,0.569820404052734
371,2.477,0.613689422607422
372,2.484,0.657558441162109
373,2.490,0.701427459716797
374,2.497,0.745773315429688
375,2.504,0.789642333984375
376,2.510,0.834465026855469
377,2.517,0.880241394042969
378,2.524,0.926971435546875
379,2.530,0.973701477050781
380,2.537,1.02043151855469
381,2.544,1.06620788574219
382,2.550,1.11055374145508
383,2.557,1.15394592285156
384,2.564,1.19590759277344
385,2.570,1.23834609985352
386,2.577,1.27983093261719
387,2.584,1.32131576538086
388,2.590,1.36232376098633
389,2.597,1.39379501342773
390,2.604,1.38616561889648
391,2.610,1.30414962768555
392,2.617,1.13773345947266
393,2.624,0.908851623535156
394,2.630,0.651836395263672
395,2.637,0.392913818359375
396,2.644,0.164985656738281
397,2.650,0.00524520874023438
398,2.657,-0.0767707824707031
399,2.664,-0.103950500488281
400,2.670,-0.109195709228516
401,2.677,-0.109195709228516
402,2.684,-0.108718872070313
403,2.690,-0.109672546386719
404,2.697,-0.111103057861328
405,2.704,-0.111579895019531
406,2.710,-0.111579895019531
407,2.717,-0.112056732177734
408,2.724,-0.113010406494141
409,2.730,-0.113010406494141
410,2.737,-0.111579895019531
411,2.744,-0.109672546386719
412,2.750,-0.107765197753906
413,2.757,-0.105381011962891
414,2.764,-0.102043151855469
415,2.770,-0.0977516174316406
416,2.777,-0.091552734375
417,2.784,-0.0853538513183594
418,2.790,-0.0791549682617188
419,2.797,-0.0734329223632813
420,2.804,-0.06866455078125
421,2.810,-0.0658035278320313
422,2.817,-0.0653266906738281
423,2.824,-0.0667572021484375
424,2.830,-0.0700950622558594
425,2.837,-0.0739097595214844
426,2.844,-0.0786781311035156
427,2.850,-0.08392333984375
428,2.857,-0.0886917114257813
429,2.864,-0.0929832458496094
430,2.870,-0.095367431640625
431,2.877,-0.0963211059570313
432,2.884,-0.0963211059570313
433,2.890,-0.0958442687988281
434,2.897,-0.095367431640625
435,2.904,-0.095367431640625
436,2.910,-0.0963211059570313
437,2.917,-0.0977516174316406
438,2.924,-0.09918212890625
439,2.930,-0.100612640380859
440,2.937,-0.101089477539063
441,2.944,-0.101089477539063
442,2.950,-0.100612640380859
443,2.957,-0.100135803222656
444,2.964,-0.0996589660644531
445,2.970,-0.0996589660644531
446,2.977,-0.09918212890625
447,2.984,-0.0987052917480469
448,2.990,-0.09918212890625
449,2.997,-0.0996589660644531
450,3.004,-0.09918212890625
451,3.010,-0.0982284545898438
452,3.017,-0.0972747802734375
453,3.024,-0.0963211059570313
454,3.030,-0.0944137573242188
455,3.037,-0.0925064086914063
456,3.044,-0.0920295715332031
457,3.050,-0.0920295715332031
458,3.057,-0.0925064086914063
459,3.064,-0.0934600830078125
460,3.070,-0.0939369201660156
461,3.077,-0.0939369201660156
462,3.084,-0.0939369201660156
463,3.090,-0.0939369201660156
464,3.097,-0.0934600830078125
465,3.104,-0.0939369201660156
466,3.110,-0.0948905944824219
467,3.117,-0.0963211059570313
468,3.124,-0.0972747802734375
469,3.130,-0.0967979431152344
470,3.137,-0.0963211059570313
471,3.144,-0.0944137573242188
472,3.150,-0.0925064086914063
473,3.157,-0.0910758972167969
474,3.164,-0.0891685485839844
475,3.170,-0.087738037109375
476,3.177,-0.0872611999511719
477,3.184,-0.0872611999511719
478,3.190,-0.0872611999511719
479,3.197,-0.0863075256347656
480,3.204,-0.0844001770019531
481,3.210,-0.0834465026855469
482,3.217,-0.0820159912109375
483,3.224,-0.0810623168945313
484,3.230,-0.0805854797363281
485,3.237,-0.0815391540527344
