#"CEDAD1 - A:Sig=200,4  Ref=360,100 nitrite_nitrate_TFA.d"
#Point,X(Minutes),Y(Response Units)
511,3.410,-0.173568725585938
512,3.417,-0.174999237060547
513,3.424,-0.178813934326172
514,3.430,-0.182628631591797
515,3.437,-0.186443328857422
516,3.444,-0.188827514648438
517,3.450,-0.189304351806641
518,3.457,-0.189781188964844
519,3.464,-0.189304351806641
520,3.470,-0.189304351806641
521,3.477,-0.188350677490234
522,3.484,-0.187873840332031
523,3.490,-0.188350677490234
524,3.497,-0.188827514648438
525,3.504,-0.188827514648438
526,3.510,-0.187397003173828
527,3.517,-0.185966491699219
528,3.524,-0.184059143066406
529,3.530,-0.182628631591797
530,3.537,-0.182151794433594
531,3.544,-0.181198120117188
532,3.550,-0.181198120117188
533,3.557,-0.181198120117188
534,3.564,-0.181674957275391
535,3.570,-0.182628631591797
536,3.577,-0.182628631591797
537,3.584,-0.18310546875
538,3.590,-0.184059143066406
539,3.597,-0.186443328857422
540,3.604,-0.188350677490234
541,3.610,-0.19073486328125
542,3.617,-0.193119049072266
543,3.624,-0.195503234863281
544,3.630,-0.196456909179688
545,3.637,-0.196933746337891
546,3.644,-0.196456909179688
547,3.650,-0.197410583496094
548,3.657,-0.199317932128906
549,3.664,-0.200748443603516
550,3.670,-0.202178955078125
551,3.677,-0.204086303710938
552,3.684,-0.205039978027344
553,3.690,-0.205039978027344
554,3.697,-0.204086303710938
555,3.704,-0.203132629394531
556,3.710,-0.202655792236328
557,3.717,-0.202655792236328
558,3.724,-0.202655792236328
559,3.730,-0.202178955078125
560,3.737,-0.202178955078125
561,3.744,-0.202655792236328
562,3.750,-0.202655792236328
563,3.757,-0.201702117919922
564,3.764,-0.200271606445313
565,3.770,-0.199794769287109
566,3.777,-0.200271606445313
567,3.784,-0.201702117919922
568,3.790,-0.203132629394531
569,3.797,-0.204086303710938
570,3.804,-0.205039978027344
571,3.810,-0.205516815185547
572,3.817,-0.204086303710938
573,3.824,-0.202178955078125
574,3.830,-0.200271606445313
575,3.837,-0.199794769287109
576,3.844,-0.200748443603516
577,3.850,-0.201702117919922
578,3.857,-0.202655792236328
579,3.864,-0.203132629394531
580,3.870,-0.203609466552734
581,3.877,-0.204086303710938
582,3.884,-0.204086303710938
583,3.890,-0.202655792236328
584,3.897,-0.201702117919922
585,3.904,-0.201702117919922
586,3.910,-0.201225280761719
587,3.917,-0.200748443603516
588,3.924,-0.200271606445313
589,3.930,-0.200748443603516
590,3.937,-0.201702117919922
591,3.944,-0.203132629394531
592,3.950,-0.205039978027344
593,3.957,-0.20599365234375
594,3.964,-0.206470489501953
595,3.970,-0.205516815185547
596,3.977,-0.205039978027344
597,3.984,-0.202655792236328
598,3.990,-0.197410583496094
599,3.997,-0.188827514648438
